4 year old female hyena, born in spring, tan color, 70 lbs, from Friguia Park, Tunisia
12 year old male hyena, born in fall, brown color, 150 lbs, from Friguia Park, Tunisia
4 year old male hyena, born in spring, black color, 120 lbs, from Friguia Park, Tunisia
8 year old female hyena, unknown birth season, black & tan color, 105 lbs, from Friguia Park, Tunisia
6 year old female lion, born in spring, tan color, 300 lbs, from Zanzibar, Tanzania
12 year old female lion, born in winter, dark tan color, 375 lbs, from KopeLion, Tanzania
22 year old male lion, born in fall, golden color, 450 lbs, from Zanzibar, Tanzania
4 year old female lion, born in spring, tan & brown color, 275 lbs, from KopeLion, Tanzania
2 year old male tiger, born in spring, gold and tan stripes color, 270 lbs, from Dhaka, Bangladesh
4 year old female tiger, born in spring, black stripes color, 400 lbs, from Dhaka, Bangladesh
18 year old male tiger, born in fall, gold and tan color, 300 lbs, from Bardia, Nepal
3 year old female tiger, born in spring, black stripes color, 285 lbs, from Bardia, Nepal
7 year old male bear, born in spring, brown color, 320 lbs, from Alaska Zoo, Alaska
25 year old female bear, born in spring, black color, 425 lbs, from Woodland Park Zoo, Washington
4 year old female bear, born in fall, black color, 355 lbs, from Woodland Park Zoo, Alaska
4 year old male bear, born in spring, brown color, 405 lbs, from Alaska Zoo, Alaska
